CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	ZERO	ONE	TWO	THREE	FOUR	FIVE	FZ	FACE
2.47E-01	1.24E-02	2.74E-03	1.07E-04	5.55E-06	1.15E-05	6.41E-07	19.14763048	0	0	0	0	1	0	0	0
2.45E-01	9.63E-03	3.33E-03	4.17E-05	5.46E-07	3.90E-06	-2.06E-08	17.78000228	0	0	0	0	1	0	0	0
2.45E-01	8.81E-03	3.28E-03	4.24E-05	-8.48E-07	3.98E-06	7.87E-08	16.77825987	0	0	0	0	1	0	0	0
2.39E-01	6.97E-03	2.41E-03	7.83E-05	-5.58E-06	5.94E-06	1.31E-06	15.69712249	0	0	0	0	1	0	0	0
2.45E-01	5.29E-03	1.51E-03	2.41E-04	-1.45E-05	1.61E-05	9.44E-06	13.46077732	0	0	0	0	1	0	0	0
2.73E-01	1.30E-02	3.70E-03	1.11E-05	-3.56E-06	3.37E-07	3.05E-06	12.63755775	0	0	0	0	1	0	0	0
2.60E-01	1.74E-02	2.11E-03	1.63E-04	-1.30E-05	2.14E-05	1.29E-05	16.22041752	0	0	0	0	1	0	0	0
2.71E-01	2.00E-02	2.27E-03	3.33E-04	-1.84E-05	4.65E-05	2.28E-05	15.63306861	0	0	0	0	1	0	0	0
2.70E-01	2.08E-02	2.04E-03	4.16E-04	-1.98E-05	5.96E-05	2.11E-05	15.79591585	0	0	0	0	1	0	0	0
2.74E-01	2.36E-02	1.60E-03	4.94E-04	-1.80E-05	7.58E-05	1.28E-05	15.93846659	0	0	0	0	1	0	0	0
2.36E-01	1.67E-02	1.30E-03	1.39E-04	-2.19E-06	1.23E-05	1.95E-06	18.64199367	0	0	0	0	1	0	0	0
2.61E-01	2.02E-02	1.43E-03	4.40E-04	-1.11E-05	6.16E-05	2.63E-06	16.7090827	0	0	0	0	1	0	0	0
2.69E-01	2.23E-02	1.43E-03	5.51E-04	-6.26E-06	8.15E-05	4.66E-07	16.98814447	0	0	0	0	1	0	0	0
2.60E-01	1.91E-02	1.51E-03	4.65E-04	-2.50E-06	5.72E-05	-9.65E-07	17.79432194	0	0	0	0	1	0	0	0
2.59E-01	1.85E-02	1.51E-03	4.80E-04	2.26E-06	5.10E-05	1.30E-06	18.30802952	0	0	0	0	1	0	0	0
2.68E-01	2.16E-02	9.80E-04	6.49E-04	4.85E-06	8.34E-05	5.23E-06	18.43590752	0	0	0	0	1	0	0	0
2.65E-01	2.10E-02	1.15E-03	4.86E-04	4.96E-06	5.62E-05	6.80E-06	18.94238155	0	0	0	0	1	0	0	0
2.68E-01	2.26E-02	1.48E-03	1.68E-04	7.58E-06	2.35E-05	7.18E-06	20.52828201	0	0	0	0	1	0	0	0
2.63E-01	2.09E-02	1.64E-03	1.01E-04	7.04E-06	1.44E-05	5.38E-06	20.37175997	0	0	0	0	1	0	0	0
2.57E-01	1.87E-02	1.79E-03	5.89E-05	5.42E-06	8.01E-06	3.42E-06	20.47603962	0	0	0	0	1	0	0	0
2.44E-01	1.40E-02	2.44E-03	1.94E-05	3.00E-06	1.86E-06	1.02E-06	21.03152086	0	0	0	0	1	0	0	0
2.41E-01	1.06E-02	3.05E-03	5.97E-05	3.20E-06	5.69E-06	1.94E-07	20.06698322	0	0	0	0	1	0	0	0
2.43E-01	9.65E-03	3.45E-03	6.73E-05	1.65E-06	6.43E-06	-2.16E-08	19.32598914	0	0	0	0	1	0	0	0
2.41E-01	9.62E-03	2.91E-03	8.75E-05	-5.66E-06	8.32E-06	1.22E-06	17.42776485	0	0	0	0	1	0	0	0
